,each_original_data,m/z A,m/z B,Interpretation A,Interpretation B,CorrelationScore,NormalisedScore,MassDeviation
0,y1 (1+) @ 174.58 & b11 (2+) @ 626.04,174.58,626.04,y1(1+),b11(2+),1.0,1.0,0.599
1,y1(1+) @ 174.59 & [b12-NH3] (2+) @ 666.97,174.59,666.97,y1(1+),b12-(H2O)(2+),1.0,1.0,0.548
2,y1(1+) @ 174.59 & [b12-NH3] (2+) @ 666.97,174.59,666.97,y1(1+),a6-(NH3)(1+),1.0,1.0,0.609
3,y1(1+) @ 174.59 & [b12-NH3] (2+) @ 666.97,174.59,666.97,y1(1+),b12-(NH3)(2+),1.0,1.0,0.641
4,y1(1+) @ 174.59 & [b12-NH3] (2+) @ 666.97,174.59,666.97,y1(1+),b6-(HCOOH)(1+),1.0,1.0,0.862
5,y1(1+) @ 174.59 & [b12-NH3] (2+) @ 666.97,174.59,666.97,y1(1+),a6-(H2O)(1+),1.0,1.0,0.87
6,y1 (1+) @ 174.65 & b12 (2+) @ 675.8,174.65,675.8,y1(1+),b12(2+),1.0,1.0,0.472
7,y1 (1+) @ 174.65 & b12 (2+) @ 675.8,174.65,675.8,y1(1+),b6-2(H2O)(1+),1.0,1.0,0.665
8,y1 (1+) @ 174.67 & b11 (1+) @ 1251.44,174.67,1251.44,y1(1+),b11(1+),1.0,1.0,0.478
9,y3 (2+) @ 193.8 & [b10-NH3] (1+) @ 1121.15,193.8,1121.15,y3(2+),b10-(NH3)(1+),1.0,1.0,0.481
10,y3 (2+) @ 193.8 & [b10-NH3] (1+) @ 1121.15,193.8,1121.15,y3(2+),b10-(H2O)(1+),1.0,1.0,0.725
11,y4 (2+) @ 250.34 & b9 (1+) @ 1025.4,250.34,1025.4,y4(2+),b9(1+),1.0,1.0,0.341
12,y4 (2+) @ 250.5 & [b9-NH3] (1+) @ 1008.11,250.5,1008.11,y4(2+),b9-(NH3)(1+),1.0,1.0,0.35
13,y4 (2+) @ 250.5 & [b9-NH3] (1+) @ 1008.11,250.5,1008.11,y4(2+),b9-(H2O)(1+),1.0,1.0,0.713
14,y2 (1+) @ 273.88 & [b10-NH3] (1+) @ 1122.11,273.88,1122.11,y2(1+),bi(2-11)-(NH3)(1+),1.0,1.0,0.693
