,each_original_data,m/z A,m/z B,Interpretation A,Interpretation B,CorrelationScore,NormalisedScore,MassDeviation
0,y1 (1+) @ 174.58 & b11 (2+) @ 626.99,174.58,626.99,y1(1+),b11(2+),1.0,1.0,0.558
1,y1 (1+) @ 174.8 & a10 (2+) @ 577.12,174.8,577.12,y1(1+),bi(2-11)(2+),1.0,1.0,0.377
2,y1 (1+) @ 174.8 & a10 (2+) @ 577.12,174.8,577.12,y1(1+),a10(2+),1.0,1.0,0.383
3,y1 (1+) @ 174.8 & a10 (2+) @ 577.12,174.8,577.12,y1(1+),b10-(HCOH)(2+),1.0,1.0,0.852
4,[y4-NH3] (2+) @ 234.7 & [b8-NH3](1+) @ 922.41,234.7,922.41,y4-(H2O)(2+),b8-(H2O)(1+),1.0,1.0,0.461
5,[y4-NH3] (2+) @ 234.7 & [b8-NH3](1+) @ 922.41,234.7,922.41,y4-(NH3)(2+),b8-(H2O)(1+),1.0,1.0,0.945
6,[y4-NH3] (2+) @ 234.85 & b8 (1+) @ 940.45,234.85,940.45,y4-(H2O)(2+),b8(1+),1.0,1.0,0.308
7,[y4-NH3] (2+) @ 234.85 & b8 (1+) @ 940.45,234.85,940.45,y4-(NH3)(2+),b8(1+),1.0,1.0,0.793
8,y4(2+) @ 243.81 & [b8-NH3] (1+) @ 922.17,243.81,922.17,y4(2+),b8-(H2O)(1+),1.0,1.0,0.481
9,y4 (2+) @ 243.98 & b8 (1+) @ 940.41,243.98,940.41,y4(2+),b8(1+),1.0,1.0,0.202
10,y2 (1+) @ 245.79 & b9 (1+) @ 1068.42,245.79,1068.42,y2(1+),b9(1+),1.0,1.0,0.403
11,y2(1+) @ 245.81 & [b9-NH3] (1+) @ 1051.61,245.81,1051.61,y2(1+),b9-(NH3)(1+),1.0,1.0,0.355
12,y2 (1+) @ 245.82 & [b10-NH3] (2+) @ 582.35,245.82,582.35,bi(3-7)-(CH3CH2SCH3)-(CH3COOH)(2+),y5-(H2O)(1+),1.0,1.0,0.311
13,y2 (1+) @ 245.82 & [b10-NH3] (2+) @ 582.35,245.82,582.35,ai(3-7)-(CH3SH)-(CH3COOH)(2+),y5-(H2O)(1+),1.0,1.0,0.331
14,y2 (1+) @ 245.82 & [b10-NH3] (2+) @ 582.35,245.82,582.35,y2(1+),ai(6-10)-(HCOH)(1+),1.0,1.0,0.34
15,y2 (1+) @ 245.82 & [b10-NH3] (2+) @ 582.35,245.82,582.35,y2(1+),b10-(H2O)(2+),1.0,1.0,0.341
16,y2 (1+) @ 245.82 & [b10-NH3] (2+) @ 582.35,245.82,582.35,y2(1+),b10-(NH3)(2+),1.0,1.0,0.58
17,y2 (1+) @ 245.82 & b10 (2+) @ 591.38,245.82,591.38,y2(1+),b10(2+),1.0,1.0,0.344
18,[y5-NH3](2+) @ 291.64 & b7 (1+) @ 827.56,291.64,827.56,y5-(H2O)(2+),b7(1+),1.0,1.0,0.139
