,each_original_data,m/z A,m/z B,Interpretation A,Interpretation B,CorrelationScore,NormalisedScore,MassDeviation
0,y1(1+) @ 164.91 & [b10-NH3](2+) @ 671.48,164.91,671.48,b3-(HCOOH)-(HCOH)(2+),bi(4-9)-(CH3SH)-(HPO3)(1+),1.0,1.0,0.27
1,y1(1+) @ 164.91 & [b10-NH3](2+) @ 671.48,164.91,671.48,a3-(H2O)-(HCOH)(2+),bi(4-9)-(CH3SH)-(HPO3)(1+),1.0,1.0,0.27
2,y1(1+) @ 164.91 & [b10-NH3](2+) @ 671.48,164.91,671.48,a3-(NH3)-(HCOH)(2+),bi(4-9)-(CH3SH)-(HPO3)(1+),1.0,1.0,0.693
3,y1(1+) @ 164.91 & [b10-NH3](2+) @ 671.48,164.91,671.48,y1(1+),b10-(H2O)(2+),1.0,1.0,0.852
4,y1(1+) @ 164.91 & [b10-NH3](2+) @ 671.48,164.91,671.48,y1(1+),b10-(NH3)(2+),1.0,1.0,0.86
5,y4(2+) @ 294.78 & [b7-NH3](1+) @ 917.61,294.78,917.61,y4(2+),b7-(H2O)(1+),1.0,1.0,0.361
6,y4(2+) @ 294.78 & [b7-NH3](1+) @ 917.61,294.78,917.61,y4(2+),b7-(NH3)(1+),1.0,1.0,0.661
7,y5(2+) @ 323.67 & [b6-NH3] (1+) @ 860.17,323.67,860.17,y5(2+),b6-(H2O)(1+),1.0,1.0,0.506
8,y5 (2+) @ 323.7 & [a6-NH3] (1+) @ 832.58,323.7,832.58,y5(2+),b6-(HCOOH)(1+),1.0,1.0,0.619
9,y5 (2+) @ 323.7 & [a6-NH3] (1+) @ 832.58,323.7,832.58,y5(2+),a6-(H2O)(1+),1.0,1.0,0.624
10,y5 (2+) @ 323.7 & [a6-NH3] (1+) @ 832.58,323.7,832.58,y5(2+),a6-(NH3)(1+),1.0,1.0,0.839
11,y6(2+) @ 445.29 & [b5-NH3] (1+) @ 617.14,445.29,617.14,y6(2+),b5-(H2O)(1+),1.0,1.0,0.605
12,y6(2+) @ 445.35 & a3(1+) @ 378.1,445.35,378.1,y6(2+),bi(3-5)(1+),1.0,1.0,0.661
13,y6(2+) @ 445.35 & a3(1+) @ 378.1,445.35,378.1,b7-(HCOOH)(2+),bi(8-10)-(CH3SH)(1+),1.0,1.0,0.895
14,y6(2+) @ 445.35 & a3(1+) @ 378.1,445.35,378.1,a7-(H2O)(2+),bi(8-10)-(CH3SH)(1+),1.0,1.0,0.895
15,y6(2+) @ 445.35 & a3(1+) @ 378.1,445.35,378.1,a7-(NH3)(2+),bi(8-10)-(CH3SH)(1+),1.0,1.0,0.914
16,y3(1+) @ 452.19 & [b8-NH3](2+) @ 527.73,452.19,527.73,y3(1+),b8-(H2O)(2+),1.0,1.0,0.951
17,[b4-HCOH – H2O] (1+) @ 456.12 & y2 (1+) @ 321.07,456.12,321.07,b4-2(NH3)-(HCOH)(1+),y2(1+),1.0,1.0,0.87
18,[b4-HCOH – H2O] (1+) @ 456.12 & y2 (1+) @ 321.07,456.12,321.07,a4-2(H2O)(1+),y2(1+),1.0,1.0,0.872
19,[b4-HCOH – H2O] (1+) @ 456.12 & y2 (1+) @ 321.07,456.12,321.07,b4-2(NH3)-(HCOH)(1+),ai(5-9)-(NH3)(2+),1.0,1.0,0.97
20,[b4-HCOH – H2O] (1+) @ 456.12 & y2 (1+) @ 321.07,456.12,321.07,a4-2(H2O)(1+),ai(5-9)-(NH3)(2+),1.0,1.0,0.972
21,[b4-HCOH – H2O] (1+) @ 456.12 & y2 (1+) @ 321.07,456.12,321.07,bi(3-9)-2(H2O)(2+),y2(1+),1.0,1.0,0.989
22,[b4 – H2O – NH3] (1+) @ 484.86 & y2 (1+) @ 320.83,484.86,320.83,a8-(HCOOH)-(HCOH)(2+),y2(1+),1.0,1.0,0.655
23,[b4 – H2O – NH3] (1+) @ 484.86 & y2 (1+) @ 320.83,484.86,320.83,b4-2(H2O)(1+),y2(1+),1.0,1.0,0.927
24,[b4 – H2O – NH3] (1+) @ 484.86 & y2 (1+) @ 320.83,484.86,320.83,b4-2(H2O)(1+),ai(5-9)-(NH3)(2+),1.0,1.0,0.998
25,[b4-H2O-NH3] (1+) @ 485.79 & [y7- CHONH2] (2+) @ 480.35,485.79,480.35,,,,,
26,[y7 – NH3] 2+ @ 494.11 & bi3-4 @ 262.78,494.11,262.78,y7-(NH3)(2+),bi(3-4)(1+),1.0,1.0,0.528
27,[y7 – NH3] 2+ @ 494.11 & bi3-4 @ 262.78,494.11,262.78,y7-(H2O)(2+),bi(3-4)(1+),1.0,1.0,0.965
28,[y7 – NH3] 2+ @ 494.11 & bi3-4 @ 262.78,494.11,262.78,bi(4-7)-2(H2O)(1+),y4-2(NH3)-(HCOH)(2+),1.0,1.0,0.991
29,[y7-NH3] (2+) @ 494.13 & [b4-HCOH – H2O] (1+) @ 456.16,494.13,456.16,y7-(NH3)(2+),b4-2(NH3)-(HCOH)(1+),1.0,1.0,0.44
30,[y7-NH3] (2+) @ 494.13 & [b4-HCOH – H2O] (1+) @ 456.16,494.13,456.16,y7-(NH3)(2+),a4-2(H2O)(1+),1.0,1.0,0.44
31,[y7-NH3] (2+) @ 494.13 & [b4-HCOH – H2O] (1+) @ 456.16,494.13,456.16,y7-(H2O)(2+),b4-2(NH3)-(HCOH)(1+),1.0,1.0,0.93
32,[y7-NH3] (2+) @ 494.13 & [b4-HCOH – H2O] (1+) @ 456.16,494.13,456.16,y7-(H2O)(2+),a4-2(H2O)(1+),1.0,1.0,0.93
33,[y7 – NH3] (2+) @ 494.28 & [b4 - H2O – NH3] (1+) @ 484.76,494.28,484.76,y7-(NH3)(2+),b4-2(H2O)(1+),1.0,1.0,0.827
34,y7 (2+) @ 502.88 & [b4-HCOH – H2O] (1+) @ 455.94,502.88,455.94,b4-(NH3)(1+),bi(5-8)-(NH3)-(HPO3)(1+),1.0,1.0,0.384
35,y7 (2+) @ 502.88 & [b4-HCOH – H2O] (1+) @ 455.94,502.88,455.94,y7(2+),b4-2(NH3)-(HCOH)(1+),1.0,1.0,0.709
36,y7 (2+) @ 502.88 & [b4-HCOH – H2O] (1+) @ 455.94,502.88,455.94,y7(2+),a4-2(H2O)(1+),1.0,1.0,0.721
37,y7 (2+) @ 502.88 & [b4-HCOH – H2O] (1+) @ 455.94,502.88,455.94,b4-(H2O)(1+),bi(5-8)-(NH3)-(HPO3)(1+),1.0,1.0,0.731
38,y7 (2+) @ 502.88 & [b4-HCOH – H2O] (1+) @ 455.94,502.88,455.94,b4-(NH3)(1+),bi(5-8)-(H2O)-(HPO3)(1+),1.0,1.0,0.808
39,503.73 & 498.42,503.73,498.42,,,,,
40,518.97 & 454.06,518.97,454.06,bi(5-8)-2(NH3)(1+),b4-2(H2O)-(HCOH)(1+),1.0,1.0,0.186
41,b8 (2+) @ 536.55 & ??? @ 454.17,536.55,454.17,bi(5-8)-(NH3)(1+),b4-2(H2O)-(HCOH)(1+),1.0,1.0,0.41
42,[y8-NH3](2+) @ 551.2 & [b3-NH3](1+) @ 387.05,551.2,387.05,y8-(NH3)(2+),b3-(H2O)(1+),1.0,1.0,0.12
43,[y8-NH3](2+) @ 551.2 & [b3-NH3](1+) @ 387.05,551.2,387.05,y8-(H2O)(2+),b3-(H2O)(1+),1.0,1.0,0.504
44,[y8-NH3] (2+) @ 551.28 & [a3-H2O] (1+) @ 358.64,551.28,358.64,y8-(NH3)(2+),b3-(NH3)-(HCOH)(1+),1.0,1.0,0.506
45,[y8-NH3] (2+) @ 551.28 & [a3-H2O] (1+) @ 358.64,551.28,358.64,y8-(NH3)(2+),b3-(HCOOH)(1+),1.0,1.0,0.536
46,[y8-NH3] (2+) @ 551.28 & [a3-H2O] (1+) @ 358.64,551.28,358.64,y8-(NH3)(2+),a3-(H2O)(1+),1.0,1.0,0.536
47,[y8-NH3] (2+) @ 551.28 & [a3-H2O] (1+) @ 358.64,551.28,358.64,y8-(H2O)(2+),b3-(NH3)-(HCOH)(1+),1.0,1.0,0.758
48,[y8-NH3] (2+) @ 551.28 & [a3-H2O] (1+) @ 358.64,551.28,358.64,y8-(H2O)(2+),b3-(HCOOH)(1+),1.0,1.0,0.778
49,[y8-NH3] (2+) @ 551.28 & [a3-H2O] (1+) @ 358.64,551.28,358.64,y8-(H2O)(2+),a3-(H2O)(1+),1.0,1.0,0.778
50,y8(2+) @ 560.27 & [a3-NH3](1+) @ 358.97,560.27,358.97,ai(4-8)-(HPO3)(1+),b3-(HCOOH)(1+),1.0,1.0,0.204
51,y8(2+) @ 560.27 & [a3-NH3](1+) @ 358.97,560.27,358.97,ai(4-8)-(HPO3)(1+),a3-(H2O)(1+),1.0,1.0,0.204
52,y8(2+) @ 560.27 & [a3-NH3](1+) @ 358.97,560.27,358.97,y8(2+),b3-(HCOOH)(1+),1.0,1.0,0.585
53,y8(2+) @ 560.27 & [a3-NH3](1+) @ 358.97,560.27,358.97,y8(2+),a3-(H2O)(1+),1.0,1.0,0.585
54,y8(2+) @ 560.27 & [a3-NH3](1+) @ 358.97,560.27,358.97,y4-(HCOH)(1+),ai(2-7)-(HCOH)-(HCOH)(2+),1.0,1.0,0.641
55,y8(2+) @ 560.27 & [a3-NH3](1+) @ 358.97,560.27,358.97,a5-(NH3)-(HCOH)(1+),bi(6-8)-(HPO3)(1+),1.0,1.0,0.794
56,y8(2+) @ 560.27 & [a3-NH3](1+) @ 358.97,560.27,358.97,ai(4-8)-(HPO3)(1+),b3-(NH3)-(HCOH)(1+),1.0,1.0,0.831
57,y8(2+) @ 560.27 & [a3-NH3](1+) @ 358.97,560.27,358.97,y8(2+),b3-(NH3)-(HCOH)(1+),1.0,1.0,0.996
58,y8(2+) @ 560.4 & [b3-NH3] (1+) @ 387.05,560.4,387.05,ai(4-8)-(HPO3)(1+),b3-(H2O)(1+),1.0,1.0,0.208
59,y8(2+) @ 560.4 & [b3-NH3] (1+) @ 387.05,560.4,387.05,ai(4-8)-(HPO3)(1+),y3-2(NH3)-(HCOH)(1+),1.0,1.0,0.208
60,y8(2+) @ 560.4 & [b3-NH3] (1+) @ 387.05,560.4,387.05,a5-(NH3)-(HCOH)(1+),y3-2(NH3)-(HCOH)(1+),1.0,1.0,0.242
61,y8(2+) @ 560.4 & [b3-NH3] (1+) @ 387.05,560.4,387.05,y4-(HCOH)(1+),bi(2-7)-2(NH3)(2+),1.0,1.0,0.461
62,y8(2+) @ 560.4 & [b3-NH3] (1+) @ 387.05,560.4,387.05,y8(2+),b3-(H2O)(1+),1.0,1.0,0.691
63,y8(2+) @ 560.4 & [b3-NH3] (1+) @ 387.05,560.4,387.05,a5-(HCOOH)(1+),y3-2(NH3)-(HCOH)(1+),1.0,1.0,0.839
64,y8 (2+) @ 560.59 & [b3 – 2(H2O)] (1+) @ 369.82,560.59,369.82,ai(4-8)-(HPO3)(1+),b3-2(H2O)(1+),1.0,1.0,0.752
65,y8 (2+) @ 560.59 & [b3 – 2(H2O)] (1+) @ 369.82,560.59,369.82,y4-(HCOH)(1+),bi(2-7)-2(H2O)-(HCOH)(2+),1.0,1.0,0.842
66,y8(2+) @ 560.81 & ??? @ 342.47,560.81,342.47,a5-(HCOOH)(1+),bi(6-10)-(HN=C=NH)(2+),1.0,1.0,0.534
67,y8(2+) @ 560.81 & ??? @ 342.47,560.81,342.47,a5-(NH3)-(HCOH)(1+),bi(6-10)-(HN=C=NH)(2+),1.0,1.0,0.702
68,y8(2+) @ 560.81 & ??? @ 342.47,560.81,342.47,ai(4-8)-(HPO3)(1+),a3-2(NH3)(1+),1.0,1.0,0.871
69,567.88 & 374.49,567.88,374.49,y5-(CH3SH)-(HCOH)(1+),b3-(HCOH)(1+),1.0,1.0,0.875
70,y4(1+) @ 589.39 & [a6-NH3](2+) @ 416.05,589.39,416.05,b5-(HCOOH)(1+),ai(6-9)-(CH2S)-(HPO3)(1+),1.0,1.0,0.835
71,y4(1+) @ 589.39 & [a6-NH3](2+) @ 416.05,589.39,416.05,a5-(H2O)(1+),ai(6-9)-(CH2S)-(HPO3)(1+),1.0,1.0,0.837
72,y4(1+) @ 589.39 & [a6-NH3](2+) @ 416.05,589.39,416.05,b5-(HCOOH)(1+),y3-2(H2O)(1+),1.0,1.0,0.845
73,y4(1+) @ 589.39 & [a6-NH3](2+) @ 416.05,589.39,416.05,a5-(H2O)(1+),y3-2(H2O)(1+),1.0,1.0,0.847
74,y4(1+) @ 589.96 & ??? @ 329.12,589.96,329.12,,,1.0,1.0,
75,591.11 & 398.48,591.11,398.48,,,1.0,1.0,
