,each_original_data,m/z A,m/z B,Interpretation A,Interpretation B,CorrelationScore,NormalisedScore,MassDeviation
0,y10/b10 (1+) @ 51.14 & [b4/y4 -NH3-H2O] (1+) @ 341.21,51.14,341.21,ai(5-6)-2(H2O)-(HCOH)(1+),b4-2(NH3)(1+),1.0,1.0,0.907
1,y10/b10 (1+) @ 51.14 & [b4/y4 -NH3-H2O] (1+) @ 341.21,51.14,341.21,a2-2(H2O)(1+),bi(3-6)-2(NH3)-(HCOH)(1+),1.0,1.0,0.907
2,y10/b10 (1+) @ 51.14 & [b4/y4 -NH3-H2O] (1+) @ 341.21,51.14,341.21,a2-2(H2O)(1+),y4-2(NH3)(1+),1.0,1.0,0.936
3,y10/b10 (1+) @ 51.14 & [b4/y4 -NH3-H2O] (1+) @ 341.21,51.14,341.21,a2-2(H2O)(1+),ai(3-6)-2(H2O)(1+),1.0,1.0,0.946
4,[y3-NH3] (1+) @ 301.75 & b11(1+) @ 1009.17,301.75,1009.17,y3-(NH3)(1+),b11(1+),1.0,1.0,0.806
5,[y3-NH3] (1+) @ 301.75 & b11(1+) @ 1009.17,301.75,1009.17,y3-(H2O)(1+),b11(1+),1.0,1.0,0.915
6,[y3-NH3] (1+) @ 301.89 & [b11-NH3] (1+) @ 992.02,301.89,992.02,y3-(NH3)(1+),b11-(NH3)(1+),1.0,1.0,0.636
7,[y3-NH3] (1+) @ 301.89 & [b11-NH3] (1+) @ 992.02,301.89,992.02,y3-(H2O)(1+),b11-(NH3)(1+),1.0,1.0,0.932
8,[y3-NH3] (1+) @ 302.06 & [a11-NH3](1+) @ 963.02,302.06,963.02,y3-(NH3)(1+),a11-(NH3)(1+),1.0,1.0,0.43
9,[y3-NH3] (1+) @ 302.06 & [a11-NH3](1+) @ 963.02,302.06,963.02,y3-(NH3)(1+),a11-(H2O)(1+),1.0,1.0,0.577
10,[y3-NH3] (1+) @ 302.06 & [a11-NH3](1+) @ 963.02,302.06,963.02,y3-(H2O)(1+),a11-(NH3)(1+),1.0,1.0,0.993
11,y3 (1+) @ 318.85 & b11 (1+) @ 1008.58,318.85,1008.58,y3(1+),b11(1+),1.0,1.0,0.338
12,[y4-NH3] (1+) @ 359.11 & b10 (1+) @ 951.13,359.11,951.13,y4-(NH3)(1+),b10(1+),1.0,1.0,0.316
13,[y4-NH3] (1+) @ 359.11 & b10 (1+) @ 951.13,359.11,951.13,b4-(NH3)(1+),y10(1+),1.0,1.0,0.351
14,[y4-NH3] (1+) @ 359.11 & b10 (1+) @ 951.13,359.11,951.13,y4-(H2O)(1+),b10(1+),1.0,1.0,0.98
15,[y5-NH3] (1+) @ 506.09 & b9 (1+) @ 804.5,506.09,804.5,y5-(NH3)(1+),b9(1+),1.0,1.0,0.192
16,[y5-NH3] (1+) @ 506.09 & b9 (1+) @ 804.5,506.09,804.5,y5-(H2O)(1+),b9(1+),1.0,1.0,0.849
17,y5 (1+) @ 523.26 & b9 (1+) @ 804.37,523.26,804.37,y5(1+),b9(1+),1.0,1.0,0.01
18,[y6-NH3] (1+) @ 562.87 & b8 (1+) @ 747.77,562.87,747.77,y6-(NH3)(1+),b8(1+),1.0,1.0,0.573
19,[y6-NH3] (1+) @ 562.87 & b8 (1+) @ 747.77,562.87,747.77,y6-(H2O)(1+),b8(1+),1.0,1.0,0.732
20,y6 (1+) @ 580.37 & [b8-NH3] (1+) @ 730.35,580.37,730.35,y6(1+),b8-(NH3)(1+),1.0,1.0,0.092
21,y6 (1+) @ 580.39 & b8 (1+) @ 747.43,580.39,747.43,y6(1+),b8(1+),1.0,1.0,0.136
22,y6(1+) @ 580.43 & [b7-NH3] (1+) @ 673.04,580.43,673.04,y6(1+),bi(2-8)-(NH3)(1+),1.0,1.0,0.309
23,y6(1+) @ 580.43 & [b7-NH3] (1+) @ 673.04,580.43,673.04,y6(1+),b7-(NH3)(1+),1.0,1.0,0.309
24,y6(1+) @ 580.43 & [b7-NH3] (1+) @ 673.04,580.43,673.04,y6(1+),bi(2-8)-(H2O)(1+),1.0,1.0,0.735
25,y6(1+) @ 580.43 & [b7-NH3] (1+) @ 673.04,580.43,673.04,y6(1+),b7-(H2O)(1+),1.0,1.0,0.735
26,y6(1+) @ 580.43 & [b7-NH3] (1+) @ 673.04,580.43,673.04,y6(1+),a8-(NH3)-(HCOH)(1+),1.0,1.0,0.735
27,y6(1+) @ 580.57 & a8(1+) @ 719.46,580.57,719.46,y6(1+),a8(1+),1.0,1.0,0.31
28,[y7 - H2O] (1+) @ 618.99 & [b7-NH3] (1+) @ 673.79,618.99,673.79,y7-(H2O)(1+),b7-(NH3)(1+),1.0,1.0,0.571
29,y7 (1+) @ 637.39 & b7 (1+) @ 690.36,637.39,690.36,y7(1+),b7(1+),1.0,1.0,0.085
30,y7(1+) @ 637.6 & [b6-NH3] (1+) @ 503.15,637.6,503.15,y7(1+),b6-(NH3)(1+),1.0,1.0,0.293
31,y7(1+) @ 637.6 & [b6-NH3] (1+) @ 503.15,637.6,503.15,y7(1+),b6-(H2O)(1+),1.0,1.0,0.993
32,??? @ 682.12 & y6 (1+) @ 580.14,682.12,580.14,b8-2(H2O)-(HCOH)(1+),y6(1+),1.0,1.0,0.812
33,b7 (1+) @ 691.33 & [y7-NH3] (1+) @ 620.15,691.33,620.15,,,1.0,1.0,
34,[b8-CH3NH2-NH3] (1+) @ 699.38 & y6 (1+) @ 580.59,699.38,580.59,b8-(H2O)-(HCOH)(1+),y6(1+),1.0,1.0,0.314
35,[b8-CH3NH2-NH3] (1+) @ 699.38 & y6 (1+) @ 580.59,699.38,580.59,b8-(NH3)-(HCOH)(1+),y6(1+),1.0,1.0,0.99
36,[b8- CH3NH2 - NH3] (1+) @ 699.4 & [y6 - H2O] (1+) @ 562.35,699.4,562.35,b8-(H2O)-(HCOH)(1+),y6-(H2O)(1+),1.0,1.0,0.106
37,[b8- CH3NH2 - NH3] (1+) @ 699.4 & [y6 - H2O] (1+) @ 562.35,699.4,562.35,b8-(H2O)-(HCOH)(1+),y6-(NH3)(1+),1.0,1.0,0.913
38,[b8- CH3NH2 - NH3] (1+) @ 699.4 & [y6 - H2O] (1+) @ 562.35,699.4,562.35,b8-(NH3)-(HCOH)(1+),y6-(H2O)(1+),1.0,1.0,0.923
39,[b9- CH3NH2 - NH3] (1+) @ 755.7 & y5 (1+) @ 523.15,755.7,523.15,b9-(H2O)-(HCOH)(1+),y5(1+),1.0,1.0,0.659
40,[b8+H2O] (1+) @ 765.76 & [y6-H2O] (1+) @ 562.31,765.76,562.31,,,1.0,1.0,
41,[b9 - CH3-NH2] (1+) @ 773.13 & y5 (1+) @ 523.25,773.13,523.25,b9-(CH3NH2)(1+),y5(1+),1.0,1.0,0.2
42,a9 (1+) @ 776.68 & ??? @ 485.61,776.68,485.61,y8-(CH3NH2)(1+),b6-2(NH3)(1+),1.0,1.0,0.626
43,a9 (1+) @ 776.68 & ??? @ 485.61,776.68,485.61,y8-(HCOH)(1+),b6-2(NH3)(1+),1.0,1.0,0.914
44,[y8-NH3] (1+) @ 790.42 & [b5-NH3] (1+) @ 445.39,790.42,445.39,y8-(NH3)(1+),bi(2-6)-(H2O)(1+),1.0,1.0,0.211
45,[y8-NH3] (1+) @ 790.42 & [b5-NH3] (1+) @ 445.39,790.42,445.39,y8-(NH3)(1+),b5-(H2O)(1+),1.0,1.0,0.211
46,[y8-NH3] (1+) @ 790.42 & [b5-NH3] (1+) @ 445.39,790.42,445.39,y8-(NH3)(1+),a6-(NH3)-(HCOH)(1+),1.0,1.0,0.211
47,[y8-NH3] (1+) @ 790.42 & [b5-NH3] (1+) @ 445.39,790.42,445.39,y8-(NH3)(1+),bi(2-6)-(NH3)(1+),1.0,1.0,0.78
48,[y8-NH3] (1+) @ 790.42 & [b5-NH3] (1+) @ 445.39,790.42,445.39,y8-(NH3)(1+),b5-(NH3)(1+),1.0,1.0,0.78
49,b9 (1+) @ 804.33 & [y5-2(NH3)](1+) @ 490.22,804.33,490.22,,,1.0,1.0,
50,[y9 - CH3-NH2 – NH3] (1+) @ 816.74 & [b4-NH3] (1+) @ 359.27,816.74,359.27,y9-(H2O)-(HCOH)(1+),bi(2-5)-(NH3)-(HCOH)(1+),1.0,1.0,0.345
51,[y9 - CH3-NH2 – NH3] (1+) @ 816.74 & [b4-NH3] (1+) @ 359.27,816.74,359.27,y9-(H2O)-(HCOH)(1+),b4-(NH3)(1+),1.0,1.0,0.345
52,[y9 - CH3-NH2 – NH3] (1+) @ 816.74 & [b4-NH3] (1+) @ 359.27,816.74,359.27,y9-(NH3)-(HCOH)(1+),bi(2-5)-(NH3)-(HCOH)(1+),1.0,1.0,0.682
53,[y9 - CH3-NH2 – NH3] (1+) @ 816.74 & [b4-NH3] (1+) @ 359.27,816.74,359.27,y9-(NH3)-(HCOH)(1+),b4-(NH3)(1+),1.0,1.0,0.682
54,[y9 - CH3-NH2 – NH3] (1+) @ 816.74 & [b4-NH3] (1+) @ 359.27,816.74,359.27,y9-(H2O)-(HCOH)(1+),ai(2-5)-(H2O)(1+),1.0,1.0,0.946
55,[y9- CH3NH2 – NH3] (1+) @ 816.84 & [b5-NH3-H2O] (1+) @ 428.1,816.84,428.1,,,1.0,1.0,
56,[b9 + H2O] (1+) @ 822.35 & [y5-H2O] @ 505.13,822.35,505.13,,,1.0,1.0,
57,[y9 - CH3-NH2] (1+) @ 833.1 & b5 (1+) @ 463.4,833.1,463.4,y9-(CH3NH2)(1+),b5(1+),1.0,1.0,0.366
58,[y9- CH3NH2] (1+) @ 833.18 & [a5-NH3-H2O] (1+) @ 400.18,833.18,400.18,y9-(CH3NH2)(1+),a5-2(NH3)(1+),1.0,1.0,0.985
59,[y9-CH3NH2] (1+) @ 833.18 & [b5-NH3-H2O] (1+) @ 427.77,833.18,427.77,y9-(CH3NH2)(1+),b5-2(H2O)(1+),1.0,1.0,0.639
