n,classification,line
1,usable,y5 (1+) @ 523.33 & [b9 - NH3] (2+) @ 394.0
2,usable,y5 (1+) @ 523.33 & b9 (2+) @ 402.67
3,non_complementary,y7 (2+) @ 319.0 & [b11 - NH3] (2+) @ 496.0
4,usable,y9 (2+) @ 432.67 & b5 (1+) @ 463.0
5,usable,y5 (2+) @ 262.0 & b9 (1+) @ 804.33
6,usable,y7 (1+) @ 637.33 & [b7 - NH3] (2+) @ 337.0
7,usable,y10 (2+) @ 476.33 & a4 (1+) @ 348.0
8,non_complementary,y7 (2+) @ 319.0 & b11 (2+) @ 504.67
9,usable,y4 (1+) @ 376.0 & [b10 - NH3] (2+) @ 467.67
10,usable,y7 (1+) @ 637.33 & b7 (2+) @ 345.67
11,usable,y6 (1+) @ 580.33 & [b8 - NH3] (2+) @ 365.33
12,usable,y11 (2+) @ 550.0 & [b3 - H2O] (1+) @ 210.67
13,usable,y4 (1+) @ 375.67 & b10 (2+) @ 476.33
14,usable,y9 (2+) @ 432.67 & [b5 - NH3] (1+) @ 446.0
15,usable,y6 (1+) @ 580.33 & b8 (2+) @ 374.0
16,usable,y5 (1+) @ 523.33 & [b9 – H2O – NH3] (2+) @ 385.0
17,usable,y7 (1+) @ 637.33 & [b7 – H2O – NH3] (2+) @ 328.0
18,usable,y5 (2+) @ 262.0 & [b9 - NH3] (1+) @ 787.33
19,usable,y11 (2+) @ 550.0 & b3 (1+) @ 228.67
20,usable,[b11 – H2O – NH3] (2+) @ 487.33 & y3 (1+) @ 319.0
21,usable,y6 (2+) @ 290.33 & b8 (1+) @ 747.33
22,usable,y7 (2+) @ 319.0 & b7(1+) @ 690.33
23,ambiguous,[y10 – NH3 – H2O] (2+) @ 458.67 & b4/y4 (1+) @ 376.0
24,usable,y6 (1+) @ 580.33 & [b8 – H2O - NH3] (2+) @ 356.67
25,usable,y6 (2+) @ 290.33 & [b8-NH3] (1+) @ 730.33
26,internal_acid,[y11 + G] (2+) @ 578.33 & bi2-3 (1+) @ 171.67
27,unclear,y9 (2+) @ 432.67 & ??? @ 383.0
28,unclear,??? @ 595.33 & [b8 - NH3] (2+) @ 366.0
29,usable,[y4-NH3] (1+) @ 358.67 & b10 (2+) @ 476.33
30,usable,[y11 - G] (2+) @ 521.67 & [b3 + G] (1+) @ 285.67
31,ambiguous,[b10/y10 – H2O – 2(NH3)] (2+) @ 450.0 & y4/b4 @ 376.0
32,usable,[b8 – NH3] (1+) @ 730.33 & ai9-10 (1+) @ 176.67
33,usable,b8 (1+) @ 747.33 & ai9-10 (1+) 176.67
34,usable,y7 (2+) @ 319.0 & [b7-NH3] (1+) @ 673.33
35,non_complementary,y5 (2+) @ 262.0 & b12 (2+) @ 533.0
36,usable,b8 (1+) @ 748.0 & ai9-10 (1+) @ 204.67
37,usable,y11(2+) @ 549.67 & a3(1+) @ 201.67
38,undefined,549.67 & 165.33
39,usable,y11 (2+) @ 550.0 & [a3 – 2(H2O)] (1+) @ 193.33
40,undefined,461.67 & 389.0
41,usable,y11 (2+) @ 550.0 & [a3-NH3] (1+) @ 183.33
42,usable,y4 (2+) @ 188.0 & [b10-NH3] (1+) @ 934.33
43,usable,b11 (1+) @ 504.67 & [y3 – CO2] (1+) @ 274.0
44,usable,y4 (1+) @ 376.0 & ai9-10 (1+) @ 176.67
45,usable,[b13-H2O-NH3] (2+) @ 559.33 & y1(1+) @ 175.0
46,usable,y1 (1+) @ 174.67 & [b13-NH3] (2+) @ 567.67
47,unclear,y5 (1+) @ 523.67 & ??? @ 370.33
48,undefined,637.0 & 314.33
49,undefined,589.33 & 131.67
50,internal_acid,[y10-H2O] (1+) @ 540.67 & [bi3-4 – 2(NH3)] (1+) @ 228.0
