n,classification,line
1,usable,y5 (1+) @ 519.33 & b3 (2+) @ 236.46
2,usable,y6 (2+) @ 352.17 & b2 (1+) @ 287.97
3,usable,y2 (1+) @ 276.0 & b6 (2+) @ 358.22
4,usable,y4 (1+) @ 462.2 & b4 (2+) @ 265.05
5,usable,y2 (1+) @ 275.95 & [b6-NH3] (2+) @ 349.0
6,usable,y6 (2+) @ 352.25 & a2 (1+) @ 260.09
7,usable,b4 (1+) @ 529.34 & Im(W) @ 158.68
8,undefined,379.75 & 197.76
9,usable,[y3-NH3] (1+) @ 387.08 & [b5-NH3] (2+) @ 284.5
10,non_complementary,[y2-NH3] (2+) @ 129.42 & b7 (2+) @ 422.56
11,internal_acid,[bi3-7 - HCOOH] (1+) @ 511.25 & Im (W) @ 158.67
12,usable,y1(1+) @ 146.68 & [b7-NH3](2+) @ 413.81
13,internal_acid,bi3-6 (1+) @ 428.14 & y2 (1+) @ 276.01
14,usable,y4 (1+) @ 462.16 & [b4-NH3] (2+) @ 255.92
15,internal_acid,bi2-6 (1+) @ 614.19 & y2 (1+) @ 276.05
16,usable,y3 (1+) @ 405.15 & [b5-NH3] (2+) @ 284.45
17,usable,y5 (1+) @ 519.29 & [b3-NH3] (2+) @ 227.3
18,usable,y4 (2+) @ 231.48 & [b4-NH3] (1+) @ 511.28
19,usable,[y6 - CH3NHCH3] (1+) @ 658.39 & Im(W) 158.65
20,undefined,519.31 & 343.18
21,usable,[y3-NH3] (1+) @ 387.17 & b5 (2+) @ 293.58
22,undefined,583.42 & 243.89
23,usable,y5 (1+) @ 519.34 & [b3-H2O-NH3] (2+) @ 218.59
24,undefined,360.8 & 257.89
25,usable,y1 (1+) @ 146.68 & b7 (2+) @ 422.86
26,non_complementary,[y2-NH3] (2+) @ 129.33 & [b7-NH3] (2+) @ 413.55
27,internal_acid,[b4-NH3] (1+) @ 511.38 & bi5-6 (1+) @ 186.59
28,usable,[y2-NH3] (2+) @ 129.46 & a6(2+) @ 342.91
29,usable,y6(2+) @ 353.02 & [b2-H2O] (1+) @ 268.68
30,usable,y6 (2+) @ 352.16 & [y1-H2O] (1+) @ 117.43
31,internal_acid,bi2-3 (1+) @ 370.7 & ??? @ 197.72
32,usable,[b7+H2O] (2+) @ 431.82 & y1-H2O (1+)128.45
33,internal_acid,bi3-6 (1+) @ 428.11 & b2 (1+) @ 287.75
34,usable,y3 (1+) @ 405.0 & b5 (2+) @ 293.55
35,usable,y4 (1+) @ 462.22 & [a4-NH3] (2+) @ 242.05
36,usable,y4 (2+) @ 230.81 & [a4-NH3] (1+) @ 485.42
37,unclear,y7-H2O (2+) 436.23 & ??? @ 118.35
38,usable,y5 (1+) @ 519.35 & [b3 - CH3NHCH3 – H2O] (2+) @ 205.31
39,non_complementary,y1 (1+) @ 147.54 & b6 (1+) @ 715.4
40,internal_acid,[y6 - CH3-NH-CH3] (1+) @ 658.42 & bi2-2 (1+) @ 186.66
41,usable,[b6 – H3C-N=CH2 - NH3] (1+) @ 654.37 & y2 (1+) @ y2 (1+) 275.92
42,usable,y5 (1+) @ 519.11 & a2 (2+) @ 129.47
43,usable,bi 2-5 (1+) @ 485.29 & [bi 6-7 – HCOOH] (1+) @ 212.85
44,internal_acid,y6 (2+) @ 352.4 & bi2-2 (1+) @ 186.67
45,unclear,y5 (1+) @ 519.0 & ??? @ 177.74
46,undefined,697.71 & 101.31
47,usable,y5 (2+) @ 259.95 & b3 (1+) @ 472.14
48,usable,y1 (1+) @ 146.75 & a5 (1+) @ 557.2
49,undefined,404.6 & 146.46
50,undefined,352.05 & 131.78
