n,classification,line
1,usable,y6 (1+) @ 685.47 & b7 (2+) @ 420.68
2,usable,y2 (1+) @ 274.0 & b11 (2+) @ 626.38
3,usable,y6 (2+) @ 343.18 & b7 (1+) @ 840.4
4,usable,y7 (2+) @ 407.31 & b6 (1+) @ 712.37
5,usable,y3 (1+) @ 387.15 & b10 (2+) @ 569.71
6,non_complementary,y2 (1+) @ 273.94 & b10 (1+) @ 1138.46
7,usable,y1 (1+) @ 174.65 & b12 (2+) @ 675.8
8,non_complementary,y3 (1+) @ 387.19 & b9 (1+) @ 1025.41
9,usable,c6 (1+) @ 729.52 & y6 (1+) @ 685.6
10,non_complementary,y6 (1+) @ 685.52 & b6(1+) @ 712.65
11,usable,y3 (2+) @ 193.8 & [b10-NH3] (1+) @ 1121.15
12,internal_acid,b6 (1+) @ 712.35 & bi7-8 (1+) @ 242.83
13,internal_acid,bi2-9 (1+) @ 912.43 & y4 (1+) 500.2
14,usable,y3 (1+) @ 387.1 & [b10-NH3] (2+) @ 560.95
15,usable,y2 (1+) @ 274.1 & [b11-NH3] (2+) @ 617.47
16,non_complementary,[y9-NH3] (2+) @ 500.36 & b8 (1+) @ 954.34
17,internal_acid,B6 (1+) 712.44 & [bi7-10 – HCONH2] (1+) 382.53
18,usable,[y7-NH3] (2+) @ 398.45 & b6 (1+) @ 712.41
19,usable,y1(1+) @ 174.59 & [b12-NH3] (2+) @ 666.97
20,undefined,518.11 & 319.86
21,usable,y4 (2+) @ 250.34 & b9 (1+) @ 1025.4
22,usable,y3 (1+) @ 387.14 & [a10-NH3] (2+) @ 547.28
23,internal_acid,b7 (1+) @ 840.43 & [bi8-10 – HCONH2] (1+) @ 253.8
24,non_complementary,y1 (1+) @ 174.67 & b11 (1+) @ 1251.44
25,usable,y6 (2+) @ 343.17 & [b7-NH3] (1+) @ 822.63
26,internal_acid,b6 (1+) @ 712.2 & [bi7-8 – NH3] (1+) 225.78
27,internal_acid,bi3-9 (1+) @ 855.2 & y4 (1+) 500.38
28,undefined,840.47 & 298.93
29,usable,y4 (2+) @ 250.5 & [b9-NH3] (1+) @ 1008.11
30,internal_acid,[bi3-9 -H2O] (1+) @ 837.58 & y4 (1+) @ 500.18
31,usable,c7 (1+) @ 857.81 & [z6 – H2O] (1+) @ 325.64
32,usable,y5 (2+) @ 286.06 & b8 (1+) @ 954.34
33,usable,y10 (2+) @ 613.96 & b3 (1+) @ 299.83
34,non_complementary,y6 (1+) @ 685.7 & b5 (1+) @ 565.38
35,usable,y2 (1+) @ 273.99 & ai10-11 (1+) @ 198.67
36,internal_acid,bi5-9 (1+) @ 518.33 & y4 (1+) @ 500.42
37,usable,y5 (2+) @ 286.06 & [b8-NH3] (1+) @ 937.39
38,internal_acid,b7 (1+) @ 840.79 & bi8-9 (1+) @ 185.67
39,usable,c11 (2+) @ 634.43 & [z2-H2O] (1+) @ 239.69
40,undefined,447.1 & 337.82
41,usable,[y10-NH3] (2+) @ 604.9 & b3 (1+) @ 299.81
42,usable,bi(4-8) (1+) @ 655.43 & b3 (1+) @ 299.94
43,undefined,537.05 & 461.15
44,internal_acid,bi5-9 (1+) @ 518.15 & [bi3-4 – HCOOH] (1+) @ 291.85
45,internal_acid,bi5-11 (1+) @ 744.47 & y2 (1+) @ 274.17
46,non_complementary,y1 (1+) @ 174.58 & b11 (2+) @ 626.04
47,undefined,524.22 & 313.54
48,non_complementary,y2 (1+) @ 273.88 & [b10-NH3] (1+) @ 1122.11
49,non_complementary,y6 (1+) @ 685.28 & b6 (2+) @ 356.25
50,undefined,395.09 & 332.94
