,each_original_data,ion1,loss1,loss_sign1,charge1,mass1,ion2,loss2,loss_sign2,charge2,mass2,addition_mass1,addition_mass2,ion_mass1,ion_mass2,correct_mass1,correct_mass2,mass_difference1,mass_difference2,m1+m2,2m1+m2,m1+2m2,chosen_sum_from,chosen_sum,Cluster ID
1,y5 (1+) @ 523.33 & [b9 - NH3] (2+) @ 394.0,y5,,,1+,523.33,b9,NH3,-,2+,394.0,0.0,17.02654910112,522.25503,803.3674300000001,523.26228,394.17769044944004,0.06772000000000844,-0.17769044944003554,917.33,1440.66,1311.33,m1+2m2,1311.33,0
2,y5 (1+) @ 523.33 & b9 (2+) @ 402.67,y5,,,1+,523.33,b9,,,2+,402.67,0.0,0.0,522.25503,803.3674300000001,523.26228,402.69096500000006,0.06772000000000844,-0.02096500000004653,926.0,1449.3300000000002,1328.67,m1+2m2,1328.67,1
3,y7 (2+) @ 319.0 & [b11 - NH3] (2+) @ 496.0,y7,,,2+,319.0,b11,NH3,-,2+,496.0,0.0,17.02654910112,636.2979500000001,1007.4573000000001,319.15622500000006,496.22262544944005,-0.15622500000006312,-0.22262544944004503,815.0,1134.0,1311.0,m1+2m2,1311.0,0
4,y9 (2+) @ 432.67 & b5 (1+) @ 463.0,y9,,,2+,432.67,b5,,,1+,463.0,0.0,0.0,863.4361700000002,462.18629000000004,432.7253350000001,463.19354000000004,-0.05533500000007052,-0.19354000000004135,895.6700000000001,1328.3400000000001,1358.67,2m1+m2,1328.3400000000001,1
5,y5 (2+) @ 262.0 & b9 (1+) @ 804.33,y5,,,2+,262.0,b9,,,1+,804.33,0.0,0.0,522.25503,803.3674300000001,262.134765,804.3746800000001,-0.1347650000000158,-0.044680000000084874,1066.33,1328.33,1870.66,2m1+m2,1328.33,1
6,y7 (1+) @ 637.33 & [b7 - NH3] (2+) @ 337.0,y7,,,1+,637.33,b7,NH3,-,2+,337.0,0.0,17.02654910112,636.2979500000001,689.32451,637.3052000000001,337.15623044944,0.02479999999991378,-0.1562304494399882,974.33,1611.66,1311.33,m1+2m2,1311.33,0
7,y10 (2+) @ 476.33 & a4 (1+) @ 348.0,y10,,,2+,476.33,a4,,,1+,348.0,0.0,0.0,950.4682000000001,347.14366,476.24135000000007,348.15091,0.08864999999991596,-0.1509100000000103,824.3299999999999,1300.6599999999999,1172.33,2m1+m2,1300.6599999999999,2
8,y7 (2+) @ 319.0 & b11 (2+) @ 504.67,y7,,,2+,319.0,b11,,,2+,504.67,0.0,0.0,636.2979500000001,1007.4573000000001,319.15622500000006,504.7359000000001,-0.15622500000006312,-0.06590000000005602,823.6700000000001,1142.67,1328.3400000000001,m1+2m2,1328.3400000000001,1
9,y4 (1+) @ 376.0 & [b10 - NH3] (2+) @ 467.67,y4,,,1+,376.0,b10,NH3,-,2+,467.67,0.0,17.02654910112,375.18662,950.4358400000001,376.19387,467.71189544944,-0.19387000000000398,-0.04189544944000545,843.6700000000001,1219.67,1311.3400000000001,m1+2m2,1311.3400000000001,0
10,y7 (1+) @ 637.33 & b7 (2+) @ 345.67,y7,,,1+,637.33,b7,,,2+,345.67,0.0,0.0,636.2979500000001,689.32451,637.3052000000001,345.669505,0.02479999999991378,0.0004950000000008004,983.0,1620.3300000000002,1328.67,m1+2m2,1328.67,1
11,y6 (1+) @ 580.33 & [b8 - NH3] (2+) @ 365.33,y6,,,1+,580.33,b8,NH3,-,2+,365.33,0.0,17.02654910112,579.2764900000001,746.3459700000001,580.2837400000001,365.66696044944,0.04625999999996111,-0.3369604494400278,945.6600000000001,1525.99,1310.99,m1+2m2,1310.99,0
12,y11 (2+) @ 550.0 & [b3 - H2O] (1+) @ 210.67,y11,,,2+,550.0,b3,H2O,-,1+,210.67,0.0,18.01056468403,1097.53661,228.08585,549.775555,211.08253531597,0.22444499999994605,-0.41253531597001825,760.67,1310.67,971.3399999999999,2m1+m2,1310.67,0
13,y4 (1+) @ 375.67 & b10 (2+) @ 476.33,y4,,,1+,375.67,b10,,,2+,476.33,0.0,0.0,375.18662,950.4358400000001,376.19387,476.22517000000005,-0.5238699999999881,0.10482999999993581,852.0,1227.67,1328.33,m1+2m2,1328.33,1
