,each_original_data,ion1,loss1,loss_sign1,charge1,mass1,ion2,loss2,loss_sign2,charge2,mass2,addition_mass1,addition_mass2,ion_mass1,ion_mass2,correct_mass1,correct_mass2,mass_difference1,mass_difference2,m1+m2,2m1+m2,m1+2m2,chosen_sum_from,chosen_sum,Cluster ID eps_0.1,Cluster ID eps_0.2,Cluster ID eps_0.3,Cluster ID eps_0.4,Cluster ID eps_0.5,Cluster ID eps_0.6,Cluster ID eps_0.7,Cluster ID eps_0.8,Cluster ID eps_0.9,Cluster ID eps_1.0
1,y6 (1+) @ 715.44 & b6 (2+) @ 356.66,y6,,,1+,715.44,b6,,,2+,356.66,0.0,0.0,714.40242,711.39892,715.40967,356.70671,0.03033000000004904,-0.04670999999996184,1072.1000000000001,1787.5400000000002,1428.7600000000002,m1+2m2,1428.7600000000002,0,0,0,0,0,0,0,0,0,0
2,y5 (1+) @ 600.46 & bi5-7 (1+) @ 383.1,y5,,,1+,600.46,bi5-7,,,1+,383.1,0.0,0.0,599.37548,382.18521999999996,600.38273,383.19246999999996,0.07726999999999862,-0.09246999999993477,983.5600000000001,1584.02,1366.66,m1+2m2,1366.66,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
3,y2 (1+) @ 245.82 & b10 (2+) @ 591.38,y2,,,1+,245.82,b10,,,2+,591.38,0.0,0.0,245.14878,1180.6525599999998,246.15603,591.3335299999999,-0.33602999999999383,0.04647000000011303,837.2,1083.02,1428.58,m1+2m2,1428.58,0,0,0,0,0,0,0,0,0,0
4,bi5-9 (1+) @ 624.4 & y3 (1+) @ 359.18,bi5-9,,,1+,624.4,y3,,,1+,359.18,0.0,0.0,623.32786,358.23283999999995,624.33511,359.24008999999995,0.06488999999999123,-0.060089999999945576,983.5799999999999,1607.98,1342.76,m1+2m2,1342.76,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
5,y4 (1+) @ 487.22 & a8(2+) @ 456.75,y4,,,1+,487.22,a8,,,2+,456.75,0.0,0.0,486.29141999999996,911.49932,487.29866999999996,456.75691,-0.0786699999999314,-0.006910000000004857,943.97,1431.19,1400.72,2m1+m2,1431.19,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
6,y9 (2+) @ 557.42 & [b3-NH3] (1+) @ 296.01,y9,,,2+,557.42,b3,NH3,-,1+,296.01,0.0,17.02654910112,1112.6011899999999,313.20015,557.3078449999999,297.18085089888,0.11215500000002976,-1.170850898880019,853.43,1410.85,1149.44,2m1+m2,1410.85,1,1,1,1,1,1,1,1,1,1
7,y6 (2+) @ 359.14 & b9 (2+) @ 534.76,y6,,,2+,359.14,b9,,,2+,534.76,0.0,0.0,714.40242,1067.5684999999999,358.20846,534.7914999999999,0.931539999999984,-0.031499999999937245,893.9,1253.04,1428.6599999999999,m1+2m2,1428.6599999999999,0,0,0,0,0,0,0,0,0,0
8,y10 (2+) @ 614.08 & b2 (1+) @ 200.71,y10,,,2+,614.08,b2,,,1+,200.71,0.0,0.0,1225.6852499999998,200.11608999999999,613.8498749999999,201.12333999999998,0.23012500000015734,-0.4133399999999767,814.7900000000001,1428.8700000000001,1015.5,2m1+m2,1428.8700000000001,-1,0,0,0,0,0,0,0,0,0
9,[y4-NH3] (2+) @ 234.85 & b8 (1+) @ 940.45,y4,NH3,-,2+,234.85,b8,,,1+,940.45,17.02654910112,0.0,486.29141999999996,939.50992,235.63968544943998,940.51717,-0.7896854494399861,-0.06716999999991913,1175.3,1410.15,2115.75,2m1+m2,1410.15,-1,-1,1,1,1,1,1,1,1,1
10,y5 (1+) @ 600.38 & b7 (2+) @ 414.18,y5,,,1+,600.38,b7,,,2+,414.18,0.0,0.0,599.37548,826.42586,600.38273,414.22017999999997,-0.0027300000000423097,-0.04017999999996391,1014.56,1614.94,1428.74,m1+2m2,1428.74,0,0,0,0,0,0,0,0,0,0
